date,hyundai,kia,lg,samsung,sk,posco,news_num,search_vol,sentimental
2021-03-18,4,6,0,0,0,0,31,7795,0.222364714
2021-03-19,7,0,1,0,1,0,29,7680,0.159540241
2021-03-22,9,13,0,1,0,0,37,23589,0.121997379
2021-03-23,5,6,0,0,0,0,33,8081,0.269917125
2021-03-24,5,0,21,0,1,0,45,7695,0.360551242
2021-03-25,2,0,2,0,0,0,17,7350,0.168201157
2021-03-26,5,0,0,0,0,0,20,7016,0.228857749
2021-03-29,5,5,0,0,5,0,47,21105,0.408655147
2021-03-30,1,0,0,0,0,0,14,8020,0.253543911
2021-03-31,1,22,0,1,0,0,64,8888,0.287441953
2021-04-01,1,4,1,0,1,1,46,8036,0.181278618
2021-04-02,0,3,1,0,1,1,21,7649,0.182444061
2021-04-05,0,0,1,0,1,0,39,23277,0.220664164
2021-04-06,0,0,0,0,0,1,16,7214,0.334158338
2021-04-07,2,0,0,0,1,0,16,6866,0.260625063
2021-04-08,0,0,0,0,0,0,16,7538,0.209760637
2021-04-09,0,0,0,0,0,0,10,6764,0.348219695
2021-04-12,1,0,2,0,1,0,32,22172,0.506074221
2021-04-13,1,1,1,6,9,0,33,7951,0.247133394
2021-04-14,26,2,1,2,2,6,70,7843,0.288110783
2021-04-15,7,2,1,0,0,10,55,7496,0.478126602
2021-04-16,10,7,2,0,29,0,60,7817,0.215462303
2021-04-19,11,9,5,0,5,2,71,23168,0.267049574
2021-04-20,10,4,0,0,0,0,38,7826,0.327326252
2021-04-21,6,2,0,0,0,0,17,7012,0.588394743
2021-04-22,17,0,0,0,0,0,41,6722,0.397458211
2021-04-23,7,3,0,0,2,0,20,6873,0.325473728
2021-04-26,7,0,0,0,0,1,50,20640,0.300548538
2021-04-27,1,1,1,5,0,0,46,6551,0.176616559
2021-04-28,2,0,0,2,2,6,24,6317,0.308412519
2021-04-29,1,19,1,0,20,4,36,6112,0.512079047
2021-04-30,2,4,17,0,6,0,42,5800,0.140061551
